Country/Region,Card acceptance (1-5),Cash needed (1-5),ATM access (1-5),Notes
Canada,5,1,5,"Card widely accepted; carry small cash for tips/small shops"
United States,5,2,5,"Cards common; cash useful for small vendors and tipping"
United Kingdom,5,1,5,"Contactless everywhere; cash rarely required"
Eurozone (most),4,2,4,"Cards common; some places prefer cash (small cafés, markets)"
Germany,3,4,4,"Cash still common in smaller businesses; carry some"
Netherlands,5,1,5,"Cards widely accepted; some shops prefer debit"
Nordics,5,1,5,"Very card-first; cash often unnecessary"
Japan,4,3,5,"Cards common in cities; cash still useful in smaller spots"
South Korea,5,1,5,"Cards widely accepted"
Southeast Asia (general),3,4,4,"Cash often needed for markets, local transport; ATMs common"
Thailand,3,4,4,"Cash important for street food/markets; ATMs available"
Vietnam,2,5,3,"Cash-heavy; card acceptance varies; carry more cash"
India,3,4,3,"Mix of cash and digital; depends on city/merchant"
Middle East (major cities),4,2,4,"Cards common in malls/hotels; cash for taxis/small shops"
Latin America (general),3,4,3,"Cash often needed; keep small notes; ATM reliability varies"
Mexico,3,4,4,"Cash commonly used; cards in larger stores/hotels"
Brazil,4,3,4,"Cards common in cities; cash for small vendors"
Australia,5,1,5,"Card-first; cash rarely needed"
New Zealand,5,1,5,"Cards widely accepted"
