Passport,Destination,Visa-free/visa-on-arrival,Max stay (days),Notes
Canada,Schengen Area,Visa-free,90,"90 days in any 180-day period"
Canada,United Kingdom,Visa-free,180,"Max 6 months, border officer discretion"
Canada,Ireland,Visa-free,90,"Extension possible in-country"
Canada,Japan,Visa-free,90,"May need onward ticket"
Canada,South Korea,Visa-free,180,"Often 90-180 depending entry, check current rules"
Canada,Thailand,Visa-free,30,"Extensions and exemptions vary"
Canada,Vietnam,eVisa recommended,0,"Visa rules change frequently"
Canada,Mexico,Visa-free,180,"Tourist permit may be issued for shorter stays"
Canada,United States,Visa-free,180,"Typically up to 6 months, varies at border"
Canada,Australia,eVisitor/eTA,0,"Requires online authorization"
Canada,New Zealand,NZeTA required,0,"Requires online authorization"
United States,Schengen Area,Visa-free,90,"90 days in any 180-day period"
United States,United Kingdom,Visa-free,180,"Max 6 months"
United States,Japan,Visa-free,90,"May need onward ticket"
United States,South Korea,Visa-free,90,"K-ETA may be required"
United Kingdom,Schengen Area,Visa-free,90,"90 days in any 180-day period"
United Kingdom,Japan,Visa-free,90,""
Australia,Schengen Area,Visa-free,90,"90 days in any 180-day period"
